"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"M40400","GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY",97,-0.431678537974182,-1.59019416273378,0.00284164956681075,0.0438633599902481,0.0374676471793879,4059,"tags=42%, list=19%, signal=34%","LEMD3/ZNF451/SNX25/HSPA5/RBBP4/OVOL2/ARID4B/OGT/FKBP1A/HTRA3/ONECUT2/CAV2/SAP30L/SMAD6/PMEPA1/EMILIN1/MIR101-1/CD109/PRDM16/PDPK1/ARID4A/USP15/PPM1A/ZBTB7A/LRRC32/SIN3A/RASL11B/FBN2/TGFBR3/PBLD/MECOM/LDLRAD4/SPRY1/HTRA1/GDF15/ASPN/SPRED2/FBN1/XBP1/CILP/SLC2A10"
"M15877","GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE",167,0.35854362351764,1.47691203151003,0.00284200737433436,0.0438633599902481,0.0374676471793879,2970,"tags=29%, list=14%, signal=25%","CCL7/ADORA2B/IDO1/S100A8/PTGS2/TLR2/S100A9/IL1B/GBP5/CEBPB/CCL3/FCER1G/CTSC/CX3CL1/PLA2G7/TNFRSF11A/PLCG2/AIM2/GBP1/OSMR/LBP/CD47/FCGR1A/CASP1/CCR1/CCL5/OSM/SUCNR1/IL23A/TNF/NMI/MAPK1/TLR6/NKG7/ETS1/IL1RAP/ZBP1/IFNG/IL17RB/KARS1/TRPV4/LILRA5/DHX9/GRN/ZDHHC5/ABCC1/MDK/ZDHHC9"
"M40552","GOBP_POSITIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE",19,0.659918939705935,1.79322792684018,0.00286050940109354,0.044026453292559,0.0376069598610809,1740,"tags=47%, list=8%, signal=44%","CDC20/SKA1/DLGAP5/UBE2C/PLK1/SKA3/ESPL1/NSMCE2/CDC16"
"M12756","GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION",21,0.647315382890452,1.78549298320931,0.00285807528685012,0.044026453292559,0.0376069598610809,2189,"tags=43%, list=10%, signal=39%","TNFRSF21/IDO1/LILRB4/CD274/LILRB1/PDCD1LG2/IL23A/FCGR2B/TYROBP"
"M36056","HP_EXERTIONAL_DYSPNEA",146,-0.383361914668145,-1.5106190196036,0.00286596838850021,0.0440493784033058,0.0376265422633684,2140,"tags=21%, list=10%, signal=19%","NUMA1/COA8/PRDM16/SDHA/SMAD3/COL13A1/SFTPA2/TGFBR2/ACTA2/LAMA4/LDB3/EFEMP2/LAMB2/LOX/ZBTB16/TGFBR1/MYH11/PIEZO2/STN1/BCOR/RARA/CYB5A/SGCD/PLN/PRKG1/TGFB3/FBN1/MFAP5/THSD4/AGR2"
"M17608","GOCC_PHAGOCYTIC_VESICLE_MEMBRANE",81,0.438639043168536,1.60488695451696,0.00287680746463233,0.0441548166459544,0.0377166065647727,4706,"tags=48%, list=22%, signal=38%","TLR1/CLEC4E/TLR2/TAP2/SLC11A1/ANXA3/CYBB/TAP1/TAPBP/TLR6/CYBA/ATP6V0A2/CALR/HLA-G/DNM2/RAB9A/RAB7B/ATG5/HLA-B/HLA-F/RAB32/RAB34/HLA-C/RAB23/RAC2/LAMP1/ATP6V0A4/ATP6V0D2/INPP5B/MTMR4/RAB7A/RAB20/LAMP2/SLC9A9/RAB8A/RAB10/CORO1A/HLA-A/RAB39A"
"M23560","GOBP_DRINKING_BEHAVIOR",19,0.659238887783868,1.79137999063926,0.00289560723830395,0.0442597155970508,0.0378062102086807,1399,"tags=16%, list=7%, signal=15%","EN1/GAL/ACE2"
"M13702","GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS",63,0.462843678608903,1.60878928694331,0.0028929767188414,0.0442597155970508,0.0378062102086807,5266,"tags=56%, list=25%, signal=42%","PNPT1/SLC25A33/REXO2/PRKAA1/YRDC/MTERF3/MRPL12/TRIT1/DARS2/SUPV3L1/C1QBP/MTPAP/METTL4/TRNT1/PUS1/TBRG4/FOXO3/LRPPRC/GTPBP3/GRSF1/TFAM/METTL8/SARS2/NSUN4/TWNK/MTO1/TFB2M/MTERF1/FASTKD1/TARS2/RPUSD4/HSD17B10/TRMT10C/POLRMT/TRMT5"
"M15673","GOBP_AXONEME_ASSEMBLY",105,-0.423390665763863,-1.5892311565708,0.00288801429918098,0.0442597155970508,0.0378062102086807,5259,"tags=41%, list=25%, signal=31%","ARMC2/CCDC65/CCDC146/TEKT2/SPEF1/TPGS1/TTLL3/LRRC46/PLA2G3/CPLANE2/CC2D2A/BBS2/DNAH3/ODAD4/SPAG17/JHY/SPAG16/CFAP43/DNAH12/SPAG6/MNS1/DNAAF3/DNAAF11/SPEF2/STK36/OFD1/TTC12/TOGARAM1/CFAP69/ZMYND10/DNAI4/UBE2B/DNAH7/DNAAF4/PIERCE1/CFAP46/DNAL1/CFAP44/TTLL5/PIERCE2/DNAH5/BBOF1/RSPH1"
"M14439","GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS",20,0.657919154749981,1.8080579755526,0.00290113320631598,0.0442831845811395,0.037826257182184,3643,"tags=65%, list=17%, signal=54%","GART/PRTFDC1/GMPS/PAICS/PPAT/HPRT1/ADA/GMPR/PRPS1/KDM1A/XDH/SHMT1/ADK"
"M16993","GOCC_NUCLEAR_ENVELOPE",451,0.293773364708754,1.32659744334246,0.00290835253445846,0.0443324012017659,0.0378682975315189,4614,"tags=36%, list=22%, signal=29%","PLAAT1/EGFR/ATP11B/MAD2L1/PTGS2/SIGMAR1/KPNA2/LPIN1/NDC1/FAF1/MX1/ENO1/CENPF/NXT2/PLA2G4A/TMEM38B/MX2/CD38/HMGA1/SEH1L/TMEM38A/SEPHS1/OSBPL3/CHMP4C/CYBB/KPNA4/LMNB2/STAU2/TXLNG/NEMP1/CACYBP/NUP155/C9orf72/RAB40B/TMEM170A/NUP205/ALOX5/TMEM201/BCL2L10/LBR/XPO4/IL15RA/EIF5A/NPC1/CSE1L/TET1/SUN1/PTGES/PCID2/CHMP1B/DHCR7/INPP4A/QSOX2/DUSP2/RANBP1/NUP50/NUP210/TMEM176B/TMPO/DTL/NUP93/RNF220/CALR/TRA2B/NUP160/BRIP1/PML/RIF1/CDK2/RAN/FXR1/SENP2/NUP98/NUP85/EBP/ALOX5AP/GLE1/NARF/NUTF2/NUP37/NUP88/SUV39H1/LEMD2/RNF6/LRPPRC/PAFAH1B1/ENY2/LRRC59/WTAP/RANBP17/MCM3AP/BNIP3/AGFG1/SMOX/ABCF1/ARL6IP6/POLA1/LMNA/IPO5/TUBB/PARP6/RAC2/PRR14/TMEM147/NUP153/MAD1L1/RANGAP1/VRK2/AGPAT5/NXT1/TNPO3/DHX37/CC2D1B/MFSD10/TYRO3/GTF3C3/XPO7/BANF1/ZFTRAF1/NUP62/LMNB1/NUP133/TRIM27/MTDH/SORT1/CPTP/OTULINL/XPOT/FAM111B/SPAST/MGST3/POM121/CDK4/ANXA4/PAK1/NUP43/ATF6/PCNA/KPNA1/TMEM43/RAE1/ITPRIP/ATR/TOR1A/TOR3A/BROX/RBM15/GNAZ/BICD2/KPNA3/FANCL/HLCS/AGPAT3/EIF6/KPNB1/CASK/CANX/ITPR3/EPC1/SEC13/BNIP2"
